ticker,cik,symbol,description,gics_sector,equity_securities,cap_size,sector_revenue_total_(trillions),total_cap_(trillions)
COP,1163165,COP,ConocoPhillips,Energy,Common stocks,Large cap,2.2,46.3
TXN,97476,TXN,Texas Instrument Inc,Information Technology,Common stocks,Large cap,5.8,46.3
ADBE,796343,ADBE,Adobe Inc,Information Technology,Common stocks,Large cap,5.8,46.3
PM,1413329,PM,Philip Morris International Inc,Consumer Staples,Common stocks,Large cap,2.6,46.3
LIN,1707925,LIN,Linde Plc,Materials,Common stocks,Large cap,0.9,46.3
UNP,100885,UNP,Union Pacific Corp,Industrials,Common stocks,Large cap,2.7,46.3
QCOM,804328,QCOM,Qualcomm Inc,Information Technology,Common stocks,Large cap,5.8,46.3
RY,1000275,RY,Royal Bank Of Canada,Financials,Common stocks,Large cap,2.7,46.3
SCHW,316709,SCHW,Charles Schwab Corporation,Financials,Common stocks,Large cap,2.7,46.3
CVS,64803,CVS,CVS Health Corp,Health Care,Common stocks,Large cap,2.8,46.3
BHP,811809,BHP,BHP Billiton Ltd ADRs,Materials,ADRs,Large cap,0.9,46.3
TTE,879764,TTE,TotalEnergies SE ADRs,Energy,ADRs,Large cap,2.2,46.3
LOW,60667,LOW,Lowes Companies Inc,Consumer Discretionary,Common stocks,Large cap,2.9,46.3
AMGN,318154,AMGN,Amgen Inc,Health Care,Common stocks,Large cap,2.8,46.3
ASTI,1350102,ASTI,Ascent Solar Tech Inc,Information Technology,Common stocks,Micro cap,5.8,46.3
HSBC,1089113,HSBC,HSBC Holdings PLC ADRs,Financials,ADRs,Large cap,2.7,46.3
HDB,1144967,HDB,HDFC Bank Ltd ADRs,Financials,ADRs,Large cap,2.7,46.3
MDT,1613103,MDT,Medtronic Plc,Health Care,Common stocks,Large cap,2.8,46.3
HON,773840,HON,Honeywell International Inc,Industrials,Common stocks,Large cap,2.7,46.3
TD,947263,TD,The Toronto-Dominion Bank,Financials,Common stocks,Large cap,2.7,46.3
AXP,4962,AXP,American Express,Financials,Common stocks,Large cap,2.7,46.3
T,732717,T,AT&T Inc.,Communication Services,Common stocks,Large cap,1.6,46.3
INTU,896878,INTU,Intuit Inc,Information Technology,Common stocks,Large cap,5.8,46.3
INTC,50863,INTC,Intel Corporation Corp,Information Technology,Common stocks,Large cap,5.8,46.3
EQNR,1140625,EQNR,Equinor ASA ADRs,Energy,ADRs,Large cap,2.2,46.3
UL,217410,UL,Unilever PLC ADRs,Consumer Staples,ADRs,Large cap,2.6,46.3
PYPL,1633917,PYPL,Paypal Holdings Inc,Information Technology,Common stocks,Large cap,5.8,46.3
IBM,51143,IBM,International Business Machines Co,Information Technology,Common stocks,Large cap,5.8,46.3
AMT,1053507,AMT,American Tower Corporation,Real Estate,REITs,Large cap,0.6,46.3
GS,886982,GS,Goldman Sachs Group Inc,Financials,Common stocks,Large cap,2.7,46.3
DE,315189,DE,Deere & Company,Industrials,Common stocks,Large cap,2.7,46.3
SBUX,829224,SBUX,Starbucks Corp,Consumer Discretionary,Common stocks,Large cap,2.9,46.3
NFLX,1065280,NFLX,Netflix Inc,Communication Services,Common stocks,Large cap,1.6,46.3
BP,313807,BP,BP PLC ADRs,Energy,ADRs,Large cap,2.2,46.3
SNY,1121404,SNY,Sanofi SA ADRs,Health Care,ADRs,Large cap,2.8,46.3
