symbol,description,gics_sector,equity_securities,cap_size
CTVA,"Corteva, Inc.",Materials,Common stocks,Large cap
NTR,Nutrien Ltd.,Materials,Common stocks,Large cap
FMC,FMC Corp,Materials,Common stocks,Large cap
MOS,Mosaic,Materials,Common stocks,Large cap
CF,CF Industries Holdings Inc,Materials,Common stocks,Large cap
ICL,Israel Chemicals Limited,Materials,Common stocks,Mid cap
SMG,Scotts Miracle Gro,Materials,Common stocks,Mid cap
UAN,CVR Partners LP,Materials,MLPs,Small cap
AVD,American Vanguard Corp,Materials,Common stocks,Small cap
BIOX,Bioceres Crop Solutions Corp.,Materials,Common stocks,Small cap
IPI,Intrepid Potash Inc,Materials,Common stocks,Small cap
MBII,Marrone Bio Innovations Inc,Materials,Common stocks,Micro cap
RKDA,Arcadia Biosciences Inc,Consumer Staples,Common stocks,Micro cap
CGA,China Green Agriculture Inc.,Materials,Common stocks,Micro cap
SEED,Origin Agritech Limited,Consumer Staples,Common stocks,Micro cap
YTEN,Yield10 Bioscience Inc,Health Care,Common stocks,Micro cap
SVFD,"Save Foods, Inc.",Materials,Common stocks,Micro cap
RYAAY,Ryanair Holdings PLC ADRs,Industrials,ADRs,Large cap
DAL,Delta Air Lines Inc,Industrials,Common stocks,Large cap
LUV,Southwest Airlines,Industrials,Common stocks,Large cap
UAL,United Continental Holdings Inc,Industrials,Common stocks,Large cap
AAL,American Airlines Group Inc,Industrials,Common stocks,Mid cap
ALK,Alaska Air Group Inc,Industrials,Common stocks,Mid cap
ZNH,China Southern Airlines ADRs,Industrials,ADRs,Mid cap
CPA,Copa Holdings SA Class A,Industrials,Common stocks,Mid cap
JBLU,Jetblue Airways Corp,Industrials,Common stocks,Mid cap
CEA,China Eastern Airlines ADRs,Industrials,ADRs,Mid cap
ULCC,"Frontier Group Holdings, Inc.",Industrials,Common stocks,Small cap
SAVE,Spirit Airlines Inc,Industrials,Common stocks,Small cap
ALGT,Allegiant Travel,Industrials,Common stocks,Small cap
SNCY,"Sun Country Airlines Holdings, Inc.",Industrials,Common stocks,Small cap
VLRS,Controladora Vuela Compania de Aviacion S.A.B. de C.V. - Volaris ADRs,Industrials,ADRs,Small cap
SKYW,Skywest Inc,Industrials,Common stocks,Small cap
HA,Hawaiian Holdings Inc,Industrials,Common stocks,Small cap
GOL,Gol Linhas ADRs of preferred shares,Industrials,ADRs,Small cap
MESA,Mesa Air Group Inc.,Industrials,Common stocks,Micro cap
AER,AerCap Holdings NV,Industrials,Common stocks,Large cap
ASR,Grupo Aeroportuario del Sureste ADRs,Industrials,ADRs,Mid cap
PAC,Grupo Aeroportuario del Pacifico ADRs of Series B,Industrials,ADRs,Mid cap
OMAB,Grupo Aeroportuario-OMA ADRs,Industrials,ADRs,Mid cap
JOBY,"Joby Aviation, Inc.",Industrials,Common stocks,Mid cap
AAWW,Atlas Air Worldwide Holdings Inc,Industrials,Common stocks,Small cap
CAAP,Corporacion America Airports SA,Industrials,Common stocks,Small cap
ASLE,AerSale Corporation,Industrials,Common stocks,Small cap
MIC,Macquarie Infrastructure Corp,Industrials,Common stocks,Small cap
BLDE,"Blade Air Mobility, Inc. - Class A",Industrials,Common stocks,Micro cap
UP,Wheels Up Experience Inc. Class A,Industrials,Common stocks,Micro cap
AA,Alcoa Corp,Materials,Common stocks,Mid cap
CSTM,Constellium NV Class A,Materials,Common stocks,Mid cap
ACH,Aluminum Corporation of China ADRs,Materials,ADRs,Small cap
KALU,Kaiser Aluminium Corp,Materials,Common stocks,Small cap
CENX,Century Aluminum,Materials,Common stocks,Small cap
VFC,VF Corp,Consumer Discretionary,Common stocks,Mid cap
RL,Ralph Lauren Corp Class A,Consumer Discretionary,Common stocks,Mid cap
GIL,Gildan Activewear Inc. Class A,Consumer Discretionary,Common stocks,Mid cap
CPRI,Capri Holdings Limited,Consumer Discretionary,Common stocks,Mid cap
COLM,Columbia Sportswear,Consumer Discretionary,Common stocks,Mid cap
PVH,PVH Corp,Consumer Discretionary,Common stocks,Mid cap
UA,Under Armour Inc Class C,Consumer Discretionary,Common stocks,Mid cap
UAA,Under Armour Inc Class A,Consumer Discretionary,Common stocks,Mid cap
ZGN,Ermenegildo Zegna N.V.,Consumer Discretionary,Common stocks,Mid cap
KTB,"Kontoor Brands, Inc.",Consumer Discretionary,Common stocks,Mid cap
OXM,Oxford Industries Inc,Consumer Discretionary,Common stocks,Small cap
HBI,Hanesbrands Inc,Consumer Discretionary,Common stocks,Small cap
LEVI,Levi Strauss & Co,Consumer Discretionary,Common stocks,Small cap
GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,Consumer Discretionary,Common stocks,Small cap
FIGS,"FIGS, Inc.",Health Care,Common stocks,Small cap
SGC,Superior Uniform Group Inc,Consumer Discretionary,Common stocks,Micro cap
LAKE,Lakeland Industries Inc,Consumer Discretionary,Common stocks,Micro cap
VNCE,Vince Holding Corp,Consumer Discretionary,Common stocks,Micro cap
DLA,Delta Apparel Inc,Consumer Discretionary,Common stocks,Micro cap
JRSH,Jerash Holdings US Inc,Consumer Discretionary,Common stocks,Micro cap
EVK,Ever-Glory International Group Inc.,Materials,Common stocks,Micro cap
XELB,Xcel Brands Inc,Consumer Discretionary,Common stocks,Micro cap
LLL,JX Luxventure Limited,Consumer Discretionary,Common stocks,Micro cap
TJX,"TJX Companies, Inc.",Consumer Discretionary,Common stocks,Large cap
LULU,Lululemon Athletica Inc,Consumer Discretionary,Common stocks,Large cap
ROST,Ross Stores Inc,Consumer Discretionary,Common stocks,Large cap
BURL,Burlington Stores Inc,Consumer Discretionary,Common stocks,Large cap
ONON,On Holding AG,Consumer Discretionary,Common stocks,Mid cap
GPS,Gap Inc,Consumer Discretionary,Common stocks,Mid cap
CRI,Carters Inc,Consumer Discretionary,Common stocks,Mid cap
AEO,American Eagle Outfitters Inc,Consumer Discretionary,Common stocks,Mid cap
VSCO,Victorias Secret & Co.,Consumer Discretionary,Common stocks,Mid cap
URBN,Urban Outfitters Inc,Consumer Discretionary,Common stocks,Mid cap
BOOT,Boot Barn Holdings Inc,Consumer Discretionary,Common stocks,Mid cap
BKE,Buckle Inc,Consumer Discretionary,Common stocks,Small cap
ANF,Abercrombie And Fitch,Consumer Discretionary,Common stocks,Small cap
GES,Guess Inc,Consumer Discretionary,Common stocks,Small cap
CHS,Chicos FAS Inc,Consumer Discretionary,Common stocks,Small cap
GIII,"G-III Apparel Group, LTD.",Consumer Discretionary,Common stocks,Small cap
SCVL,Shoe Carnival Inc,Consumer Discretionary,Common stocks,Small cap
DBI,Designer Brands Inc. Class A,Consumer Discretionary,Common stocks,Small cap
PLCE,Childrens Place Inc,Consumer Discretionary,Common stocks,Small cap
GCO,Genesco Inc,Consumer Discretionary,Common stocks,Small cap
ZUMZ,Zumiez Inc,Consumer Discretionary,Common stocks,Small cap
DXLG,"Destination XL Group, Inc",Consumer Discretionary,Common stocks,Small cap
CURV,Torrid Holdings Inc.,Consumer Discretionary,Common stocks,Micro cap
JILL,J Jill Inc,Consumer Discretionary,Common stocks,Micro cap
DLTH,Duluth Holdings Inc Class B,Consumer Discretionary,Common stocks,Micro cap
BIRD,"Allbirds, Inc.",Consumer Discretionary,Common stocks,Micro cap
CATO,Cato Corp Class A,Consumer Discretionary,Common stocks,Micro cap
RENT,"Rent the Runway, Inc.",Consumer Discretionary,Common stocks,Micro cap
TLYS,Tillys Inc Class A,Consumer Discretionary,Common stocks,Micro cap
CTRN,Citi Trends Inc,Consumer Discretionary,Common stocks,Micro cap
LVLU,"Lulus Fashion Lounge Holdings, Inc.",Consumer Discretionary,Common stocks,Micro cap
EXPR,Express Inc,Consumer Discretionary,Common stocks,Micro cap
DBGI,"Digital Brands Group, Inc.",Consumer Discretionary,Common stocks,Micro cap
BLK,Blackrock Inc,Financials,Common stocks,Large cap
BX,Blackstone Group Inc. Class A,Financials,Common stocks,Large cap
KKR,KKR & Co Inc.,Financials,Common stocks,Large cap
BK,Bank Of New York Mellon Corp,Financials,Common stocks,Large cap
APO,Apollo Global Management LLC,Financials,MLPs,Large cap
AMP,Ameriprise Finance Inc,Financials,Common stocks,Large cap
STT,State Street Corp,Financials,Common stocks,Large cap
TROW,T Rowe Price Group Inc,Financials,Common stocks,Large cap
NTRS,Northern Trust Corporation,Financials,Common stocks,Large cap
ARES,Ares Management Corporation Class A,Financials,Common stocks,Large cap
BEN,Franklin Resources Inc,Financials,Common stocks,Large cap
BAM,Brookfield Asset Management Inc.,Financials,Common stocks,Large cap
CG,Carlyle Group,Financials,Common stocks,Large cap
GRAB,Grab Holdings Limited - Class A,Industrials,Common stocks,Large cap
SEIC,SEI Investments,Financials,Common stocks,Mid cap
IVZ,Invesco Ltd,Financials,Common stocks,Mid cap
AMG,Affiliated Managers Group Inc,Financials,Common stocks,Mid cap
OWL,Blue Owl Capital Inc. Class A,Financials,Common stocks,Mid cap
BIPC,Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares,Utilities,Common stocks,Mid cap
ATCO,Atlas Corp.,Industrials,Common stocks,Mid cap
JHG,Janus Henderson Group Plc,Financials,Common stocks,Mid cap
AB,AllianceBernstein Holding LP,Financials,MLPs,Mid cap
FHI,"Federated Hermes, Inc.",Financials,Common stocks,Mid cap
CNS,Cohen & Steers Inc,Financials,Common stocks,Mid cap
JXN,Jackson Financial Inc. Class A,Financials,Common stocks,Mid cap
HLNE,Hamilton Lane Inc Class A,Financials,Common stocks,Mid cap
AMK,"AssetMark Financial Holdings, Inc.",Financials,Common stocks,Mid cap
CIXX,CI Financial Corp.,Financials,Common stocks,Mid cap
APAM,Artisan Partners Asset Management,Financials,Common stocks,Mid cap
TPG,TPG Inc. - Class A,Financials,Common stocks,Small cap
VCTR,"Victory Capital Holdings, Inc. Class A",Financials,Common stocks,Small cap
BUR,Burford Capital Limited,Financials,Common stocks,Small cap
STEP,StepStone Group Inc. Class A,Financials,Common stocks,Small cap
BCOR,Blucora Inc,Financials,Common stocks,Small cap
BBUC,Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares,Industrials,Common stocks,Small cap
VRTS,Virtus Investment Partners Inc,Financials,Common stocks,Small cap
NOAH,Noah Holdings ADRs,Financials,ADRs,Small cap
SII,Sprott Inc.,Financials,Common stocks,Small cap
BSIG,Brightsphere Investment Group,Financials,Common stocks,Small cap
PAX,Patria Investments Ltd,Financials,Common stocks,Small cap
WETF,Wisdomtree Investments Inc,Financials,Common stocks,Small cap
DHIL,Diamond Hill Investment Group Inc,Financials,Common stocks,Small cap
PUYI,Puyi Inc. ADRs,Financials,ADRs,Small cap
PX,"P10, Inc.",Financials,Common stocks,Small cap
VINP,Vinci Partners Investments Ltd.,Financials,Common stocks,Small cap
MSB,Mesabi Trust,Materials,Royalty trusts,Small cap
GCMG,GCM Grosvenor Inc. - Class A,Financials,Common stocks,Small cap
MN,Manning And Napier Inc Class A,Financials,Common stocks,Micro cap
SWKH,SWK Holdings Corporation,Financials,Common stocks,Micro cap
SCU,"Sculptor Capital Management, Inc. Class A",Financials,Common stocks,Micro cap
HYW,Hywin Holdings Ltd. ADRs,Financials,ADRs,Micro cap
PZN,Pzena Investment Management Inc Class A,Financials,Common stocks,Micro cap
SAMG,Silvercrest Asset Management Group,Financials,Common stocks,Micro cap
AAMC,Altisource Asset Management Corp,Real Estate,Common stocks,Micro cap
MGLD,"The Marygold Companies, Inc.",Financials,Common stocks,Micro cap
HNNA,Hennessy Advisors Inc,Financials,Common stocks,Micro cap
AINC,Ashford Inc,Financials,Common stocks,Micro cap
DXR,Daxor Corp,Health Care,Common stocks,Micro cap
GROW,US Global Investors Inc Class A,Financials,Common stocks,Micro cap
SFE,Safeguard Scientifics Inc,Financials,Common stocks,Micro cap
MTR,Mesa Royalty Trust,Financials,Royalty trusts,Micro cap
JP,Jupai Holdings Limited ADRs,Financials,ADRs,Micro cap
LGHL,Lion Group Holding Ltd. ADRs,Financials,ADRs,Micro cap
PHCF,"Puhui Wealth Investment Management Co., Ltd.",Financials,Common stocks,Micro cap
PAG,Penske Automotive Group Inc,Consumer Discretionary,Common stocks,Mid cap
KMX,Carmax Inc,Consumer Discretionary,Common stocks,Mid cap
AN,AutoNation Inc,Consumer Discretionary,Common stocks,Mid cap
LAD,Lithia Motors Inc Class A,Consumer Discretionary,Common stocks,Mid cap
DRVN,Driven Brands Holdings Inc.,Industrials,Common stocks,Mid cap
ABG,Asbury Automotive Group Inc.,Consumer Discretionary,Common stocks,Mid cap
GPI,Group Automotive Inc,Consumer Discretionary,Common stocks,Mid cap
RUSHA,Rush Enterprises Inc Class A,Industrials,Common stocks,Mid cap
RUSHB,Rush Enterprises Inc Class B,Industrials,Common stocks,Mid cap
CARS,Cars.Com Inc,Communication Services,Common stocks,Small cap
SAH,Sonic Automotive Inc Class A,Consumer Discretionary,Common stocks,Small cap
CRMT,Americas Car-Mart Inc,Consumer Discretionary,Common stocks,Small cap
KFS,Kingsway Financial Services Inc.,Financials,Common stocks,Micro cap
LAZY,Lazydays Holdings Inc.,Consumer Discretionary,Common stocks,Micro cap
VRM,"Vroom, Inc.",Consumer Discretionary,Common stocks,Micro cap
RMBL,Rumbleon Inc Class B,Consumer Discretionary,Common stocks,Micro cap
KXIN,Kaixin Auto Holdings,Financials,Common stocks,Micro cap
LOTZ,"CarLotz, Inc. - Class A",Consumer Discretionary,Common stocks,Micro cap
LMPX,"LMP Automotive Holdings, Inc.",Consumer Discretionary,Common stocks,Micro cap
RENN,Renren Inc. ADRs of Class A,Information Technology,ADRs,Micro cap
JZXN,"Jiuzi Holdings, Inc.",Consumer Discretionary,Common stocks,Micro cap
TSLA,Tesla Inc,Consumer Discretionary,Common stocks,Large cap
TM,Toyota Motor Corp ADRs,Consumer Discretionary,ADRs,Large cap
RACE,Ferrari N.V.,Consumer Discretionary,Common stocks,Large cap
GM,General Motors,Consumer Discretionary,Common stocks,Large cap
HMC,Honda Motor Co Ltd ADRs,Consumer Discretionary,ADRs,Large cap
F,Ford Motor Company,Consumer Discretionary,Common stocks,Large cap
STLA,Stellantis N.V.,Consumer Discretionary,Common stocks,Large cap
LI,Li Auto Inc. ADRs of Class A,Consumer Discretionary,ADRs,Large cap
TTM,Tata Motors Ltd ADRs,Consumer Discretionary,ADRs,Large cap
LCID,"Lucid Group, Inc.",Consumer Discretionary,Common stocks,Large cap
NIO,NIO Inc. ADRs of Class A,Consumer Discretionary,ADRs,Large cap
RIVN,"Rivian Automotive, Inc.  Class A",Consumer Discretionary,Common stocks,Large cap
XPEV,XPeng Inc. ADRs of Class A,Consumer Discretionary,ADRs,Mid cap
FSR,Fisker Inc. Class A,Consumer Discretionary,Common stocks,Small cap
NKLA,Nikola Corporation,Industrials,Common stocks,Small cap
BLBD,Blue Bird Corp,Industrials,Common stocks,Small cap
HYLN,Hyliion Holdings Corp. Class A,Industrials,Common stocks,Small cap
PTRA,Proterra Inc,Industrials,Common stocks,Small cap
FFIE,Faraday Future Intelligent Electric Inc.,Consumer Discretionary,Common stocks,Micro cap
NIU,Niu Technologies Class A ADRs,Consumer Discretionary,ADRs,Micro cap
GOEV,Canoo Inc.  - Class A,Consumer Discretionary,Common stocks,Micro cap
HYZN,Hyzon Motors Inc. - Class A,Industrials,Common stocks,Micro cap
MULN,"Mullen Automotive, Inc.",Consumer Discretionary,Common stocks,Micro cap
WKHS,Workhorse Group Inc,Consumer Discretionary,Common stocks,Micro cap
RIDE,Lordstown Motors Corp. - Class A,Consumer Discretionary,Common stocks,Micro cap
ARVL,Arrival,Consumer Discretionary,Common stocks,Micro cap
CENN,Cenntro Electric Group Limited,Consumer Discretionary,Common stocks,Micro cap
ELMS,"Electric Last Mile Solutions, Inc. - Class A",Consumer Discretionary,Common stocks,Micro cap
SOLO,Electrameccanica Vehicles Corp. Ltd.,Consumer Discretionary,Common stocks,Micro cap
GP,GreenPower Motor Company Inc.,Consumer Discretionary,Common stocks,Micro cap
VEV,Vicinity Motor Corp.,Consumer Discretionary,Common stocks,Micro cap
SEV,Sono Group N.V.,Consumer Discretionary,Common stocks,Micro cap
VLCN,"Volcon, Inc.",Consumer Discretionary,Common stocks,Micro cap
AYRO,"AYRO, Inc.",Consumer Discretionary,Common stocks,Micro cap
APTV,Aptiv Plc,Consumer Discretionary,Common stocks,Large cap
MGA,Magna International,Consumer Discretionary,Common stocks,Large cap
LKQ,LKQ Corp,Consumer Discretionary,Common stocks,Large cap
BWA,BorgWarner Inc,Consumer Discretionary,Common stocks,Large cap
LEA,Lear Corp,Consumer Discretionary,Common stocks,Mid cap
ALV,Autoliv Inc,Consumer Discretionary,Common stocks,Mid cap
GNTX,Gentex Corp,Consumer Discretionary,Common stocks,Mid cap
VC,Visteon Corp,Consumer Discretionary,Common stocks,Mid cap
ALSN,Allison Transmission Holdings Inc,Industrials,Common stocks,Mid cap
ADNT,Adient PLC,Consumer Discretionary,Common stocks,Mid cap
GT,Goodyear Tire & Rubber,Consumer Discretionary,Common stocks,Mid cap
QS,QuantumScape Corporation Class A,Consumer Discretionary,Common stocks,Mid cap
MTOR,Meritor Inc,Industrials,Common stocks,Mid cap
DORM,Dorman Products Inc,Consumer Discretionary,Common stocks,Mid cap
DAN,Dana Incorporated Inc,Consumer Discretionary,Common stocks,Small cap
THRM,Gentherm Inc,Consumer Discretionary,Common stocks,Small cap
XPEL,"XPEL, Inc.",Consumer Discretionary,Common stocks,Small cap
TEN,Tenneco Inc,Consumer Discretionary,Common stocks,Small cap
MNRO,Monro Inc.,Consumer Discretionary,Common stocks,Small cap
MOD,Modine Manufacturing,Consumer Discretionary,Common stocks,Small cap
SES,SES AI Corporation Class A,Industrials,Common stocks,Small cap
AXL,American Axle And Manufacturing Holdings,Consumer Discretionary,Common stocks,Small cap
GGR,Gogoro Inc.,Consumer Discretionary,Common stocks,Small cap
SMP,Standard Motor Products Inc,Consumer Discretionary,Common stocks,Small cap
PLOW,Douglas Dynamics Inc,Industrials,Common stocks,Small cap
ALLG,Allego N.V.,Consumer Discretionary,Common stocks,Small cap
INVZ,Innoviz Technologies Ltd.,Information Technology,Common stocks,Small cap
SRI,Stoneridge Inc,Consumer Discretionary,Common stocks,Small cap
GTX,Garrett Motion Inc.,Consumer Discretionary,Common stocks,Small cap
MLR,Miller Industries Inc,Industrials,Common stocks,Small cap
AEVA,"Aeva Technologies, Inc.",Information Technology,Common stocks,Small cap
HLLY,Holley Inc.,Consumer Discretionary,Common stocks,Micro cap
CPS,Cooper Standard Holdings Inc,Consumer Discretionary,Common stocks,Micro cap
CVGI,Commercial Vehicle Group Inc,Industrials,Common stocks,Micro cap
KNDI,Kandi Technologies Group,Consumer Discretionary,Common stocks,Micro cap
XL,XL Fleet Corp. Class A,Consumer Discretionary,Common stocks,Micro cap
CAAS,China Automotive Systems Inc.,Consumer Discretionary,Common stocks,Micro cap
SUP,"Superior Industries International, Inc.",Consumer Discretionary,Common stocks,Micro cap
WPRT,Westport Fuel Systems Inc,Consumer Discretionary,Common stocks,Micro cap
MPAA,Motorcar Parts Of America Inc,Consumer Discretionary,Common stocks,Micro cap
STRT,Strattec Security Corp,Consumer Discretionary,Common stocks,Micro cap
RMO,"Romeo Power, Inc. Class A",Industrials,Common stocks,Micro cap
LIDR,"AEye, Inc. - Class A",Information Technology,Common stocks,Micro cap
HZN,Horizon Global Corp,Consumer Discretionary,Common stocks,Micro cap
SYPR,Sypris Solutions Inc,Consumer Discretionary,Common stocks,Micro cap
FRSX,Foresight Autonomous Holdings Ltd. ADRs,Real Estate,ADRs,Micro cap
WKSP,"Worksport, Ltd",Consumer Discretionary,Common stocks,Micro cap
UFAB,Unique Fabricating Inc,Consumer Discretionary,Common stocks,Micro cap
HDB,HDFC Bank Ltd ADRs,Financials,ADRs,Large cap
IBN,ICICI Bank Ltd ADRs,Financials,ADRs,Large cap
USB,US Bancorp,Financials,Common stocks,Large cap
PNC,"PNC Financial Services Group, Inc.",Financials,Common stocks,Large cap
TFC,Truist Financial Corporation,Financials,Common stocks,Large cap
LYG,Lloyds Banking Group PLC ADRs,Financials,ADRs,Large cap
MFG,Mizuho Financial Group Inc ADRs,Financials,ADRs,Large cap
BBD,Banco Bradesco SA ADRs,Financials,ADRs,Large cap
BBDO,Banco Bradesco SA ADRs,Financials,ADRs,Large cap
ITUB,Itau Unibanco Holding SA ADRs of Preferred Shares,Financials,ADRs,Large cap
DB,Deutsche Bank AG,Financials,Common stocks,Large cap
MTB,M&T Bank Corp,Financials,Common stocks,Large cap
FITB,Fifth Third Bancorp,Financials,Common stocks,Large cap
RF,Regions Financial Corp,Financials,Common stocks,Large cap
HBAN,Huntington Bancshares Inc,Financials,Common stocks,Large cap
KB,KB Financial Group Inc ADRs,Financials,ADRs,Large cap
CFG,Citizens Financial Group Inc,Financials,Common stocks,Large cap
SHG,Shinhan Financial Group Co Ltd ADRs,Financials,ADRs,Large cap
BAP,Credicorp Ltd,Financials,Common stocks,Large cap
KEY,Keycorp,Financials,Common stocks,Large cap
BCH,Banco de Chile ADRs,Financials,ADRs,Mid cap
FHN,First Horizon National Corp,Financials,Common stocks,Mid cap
BSAC,Banco Santander Chile ADRs,Financials,ADRs,Mid cap
FCNCA,First Citizens Bancshares Inc Class A,Financials,Common stocks,Mid cap
CBSH,Commerce Bancshares Inc,Financials,Common stocks,Mid cap
BSBR,Banco Santander Brasil ADRs,Financials,ADRs,Mid cap
WBS,Webster Financial Corp,Financials,Common stocks,Mid cap
CFR,Cullen Frost Bankers Inc,Financials,Common stocks,Mid cap
SIVB,SVB Financial Group,Financials,Common stocks,Mid cap
WF,Woori Financial Group Inc. ADRs,Financials,ADRs,Mid cap
NYCB,New York Community Bancorp,Financials,Common stocks,Mid cap
PB,Prosperity Bancshares Inc,Financials,Common stocks,Mid cap
BOKF,BOK Financial Corp,Financials,Common stocks,Mid cap
SSB,South State Corp,Financials,Common stocks,Mid cap
CMA,Comerica Inc,Financials,Common stocks,Mid cap
UBSI,United Bankshares Inc,Financials,Common stocks,Mid cap
GBCI,Glacier Bancorp Inc,Financials,Common stocks,Mid cap
VLY,Valley National,Financials,Common stocks,Mid cap
FFIN,First Financial Bankshares Inc,Financials,Common stocks,Mid cap
HOMB,Home Bancshares Inc,Financials,Common stocks,Mid cap
BSMX,Santander Mexico ADRs,Financials,ADRs,Mid cap
WTFC,Wintrust Financial Corp,Financials,Common stocks,Mid cap
SBNY,Signature Bank,Financials,Common stocks,Mid cap
SNV,Synovus Financial Corp,Financials,Common stocks,Mid cap
ONB,Old National Bancorp,Financials,Common stocks,Mid cap
ZION,Zions Bancorporation,Financials,Common stocks,Mid cap
FNB,FNB Corp,Financials,Common stocks,Mid cap
PNFP,Pinnacle Financial Partners Inc,Financials,Common stocks,Mid cap
OZK,Bank of the Ozarks,Financials,Common stocks,Mid cap
BPOP,Popular Inc,Financials,Common stocks,Mid cap
UMPQ,Umpqua Holdings Corp,Financials,Common stocks,Mid cap
TFSL,TFS Financial Corp,Financials,Common stocks,Mid cap
WAL,Western Alliance,Financials,Common stocks,Mid cap
UCBI,United Community Banks Inc,Financials,Common stocks,Mid cap
HWC,Hancock Whitney Corp,Financials,Common stocks,Mid cap
FIBK,First Interstate Bancsystem Inc Class A,Financials,Common stocks,Mid cap
INDB,Independent Bank Corp,Financials,Common stocks,Mid cap
SFBS,Servisfirst Bancshares Inc,Financials,Common stocks,Mid cap
UMBF,UMB Financial Corp,Financials,Common stocks,Mid cap
CBU,Community Bank System Inc,Financials,Common stocks,Mid cap
BANF,Bancfirst Corp,Financials,Common stocks,Mid cap
ASB,Associated Bancorp,Financials,Common stocks,Mid cap
IFS,Intercorp Financial Services Inc.,Financials,Common stocks,Mid cap
FHB,First Hawaiian Inc,Financials,Common stocks,Mid cap
IBOC,International Bancshares Corp,Financials,Common stocks,Mid cap
CIB,Bancolombia SA ADRs,Financials,ADRs,Mid cap
AUB,Atlantic Union Bankshares Corporation,Financials,Common stocks,Mid cap
ABCB,Ameris Bancorp,Financials,Common stocks,Mid cap
CATY,Cathay General Bancorp,Financials,Common stocks,Mid cap
CVBF,CVB Financial Corporation,Financials,Common stocks,Mid cap
TCBI,Texas Capital Bancshares Inc,Financials,Common stocks,Mid cap
FULT,Fulton Financial Corp,Financials,Common stocks,Mid cap
WSFS,WSFS Financial Corp,Financials,Common stocks,Mid cap
ITCB,Itau CorpBanca ADRs,Financials,ADRs,Mid cap
FRC,First Republic Bank,Financials,Common stocks,Mid cap
PPBI,Pacfic Premier Bancorp Inc,Financials,Common stocks,Mid cap
SFNC,Simmons First National Corp,Financials,Common stocks,Mid cap
AX,Axos Financial Inc,Financials,Common stocks,Mid cap
FFBC,First Financial Bancorp,Financials,Common stocks,Mid cap
EBC,"Eastern Bankshares, Inc.",Financials,Common stocks,Mid cap
CADE,Cadence Bancorporation,Financials,Common stocks,Mid cap
SBCF,Seacoast Banking Of Florida,Financials,Common stocks,Mid cap
FBC,Flagstar Bancorp Inc,Financials,Common stocks,Mid cap
BOH,Bank Of Hawaii Corp.,Financials,Common stocks,Small cap
FBP,First Bancorp,Financials,Common stocks,Small cap
FRME,First Merchants Corp,Financials,Common stocks,Small cap
CLBK,Columbia Financial Inc.,Financials,Common stocks,Small cap
PRK,Park National Corp,Financials,Common stocks,Small cap
WAFD,Washington Federal Inc,Financials,Common stocks,Small cap
HTH,Hilltop Holdings Inc,Financials,Common stocks,Small cap
WSBC,Wesbanco Inc,Financials,Common stocks,Small cap
IBTX,Independent Bank Group Inc,Financials,Common stocks,Small cap
BANR,Banner Corp,Financials,Common stocks,Small cap
RNST,Renasant Corp,Financials,Common stocks,Small cap
EFSC,Enterprise Financial Services Corp,Financials,Common stocks,Small cap
LKFN,Lakeland Financial Corp,Financials,Common stocks,Small cap
BKU,Bankunited Inc,Financials,Common stocks,Small cap
HTLF,Heartland Financial USA Inc,Financials,Common stocks,Small cap
COLB,Columbia Banking System Inc,Financials,Common stocks,Small cap
NWBI,Northwest Bancshares Inc,Financials,Common stocks,Small cap
TBBK,Bancorp Inc,Financials,Common stocks,Small cap
SYBT,Stock Yards Bancorp Inc,Financials,Common stocks,Small cap
TBK,Triumph Bancorp Inc,Financials,Common stocks,Small cap
TRMK,Trustmark Corp,Financials,Common stocks,Small cap
NBTB,NBT Bancorp Inc,Financials,Common stocks,Small cap
FBNC,First Bancorp,Financials,Common stocks,Small cap
PFS,Provident Financial Services Inc,Financials,Common stocks,Small cap
FBK,FB Financial Corp,Financials,Common stocks,Small cap
TCBK,Trico Bancshares,Financials,Common stocks,Small cap
TOWN,Towne Bank,Financials,Common stocks,Small cap
CHCO,City Holding,Financials,Common stocks,Small cap
FCF,First Commonwealth Financial Corp,Financials,Common stocks,Small cap
GGAL,Grupo Financiero Galicia ADRs of Class B,Financials,ADRs,Small cap
STBA,"S&T Bancorp, Inc.",Financials,Common stocks,Small cap
WABC,Westamerica Bancorporation,Financials,Common stocks,Small cap
NBHC,National Bank Holdings Corp,Financials,Common stocks,Small cap
OFG,OFG Bancorp,Financials,Common stocks,Small cap
HOPE,Hope Bancorp Inc,Financials,Common stocks,Small cap
SASR,Sandy Spring Bancorp Inc,Financials,Common stocks,Small cap
CASH,Meta Financial Group Inc,Financials,Common stocks,Small cap
MBIN,Merchants Bancorp,Financials,Common stocks,Small cap
BUSE,First Busey Corp,Financials,Common stocks,Small cap
SRCE,1st Source Corp,Financials,Common stocks,Small cap
BHLB,Berkshire Hills Bancorp Inc,Financials,Common stocks,Small cap
PACW,Pacwest Bancorp,Financials,Common stocks,Small cap
OCFC,Oceanfirst Financial Corp,Financials,Common stocks,Small cap
LOB,Live Oak Bancshares Inc,Financials,Common stocks,Small cap
BMA,Banco Macro S.A.  ADRs of Class B shares,Financials,ADRs,Small cap
SBSI,Southside Bancshares Inc,Financials,Common stocks,Small cap
