symbol,description,gics_sector,equity_securities,cap_size
MYE,Myers Industries Inc,Materials,Common stocks,Small cap
PACK,Ranpak Holdings Corp Class A,Materials,Common stocks,Small cap
KRT,Karat Packaging Inc.,Industrials,Common stocks,Micro cap
TUP,Tupperware Brands Corp,Consumer Discretionary,Common stocks,Micro cap
FFHL,Fuwei Films (Holdings) Co. Ltd.,Consumer Discretionary,Common stocks,Micro cap
SUZ,Suzano Papel e Celulose S.A. ADRs,Materials,ADRs,Large cap
SLVM,Sylvamo Corporation,Materials,Common stocks,Small cap
RFP,Resolute Forest Products Inc,Materials,Common stocks,Small cap
SWM,Schweitzer Mauduit International Inc,Materials,Common stocks,Small cap
MERC,Mercer International Inc,Materials,Common stocks,Small cap
CLW,Clearwater Paper Corp,Materials,Common stocks,Small cap
NP,Neenah Paper Inc,Materials,Common stocks,Small cap
GLT,Glatfelter,Materials,Common stocks,Micro cap
ITP,It Tech Packaging Inc.,Materials,Common stocks,Micro cap
ROL,Rollins Inc,Industrials,Common stocks,Large cap
SCI,Service Corporation International,Consumer Discretionary,Common stocks,Mid cap
HRB,H&R Block Inc,Consumer Discretionary,Common stocks,Mid cap
TMX,"Terminix Global Holdings, Inc.",Consumer Discretionary,Common stocks,Mid cap
BFAM,Bright Horizons Family Solutions,Consumer Discretionary,Common stocks,Mid cap
DSEY,"Diversey Holdings, Ltd.",Materials,Common stocks,Mid cap
MCW,"Mister Car Wash, Inc.",Consumer Discretionary,Common stocks,Mid cap
FTDR,Frontdoor Inc,Consumer Discretionary,Common stocks,Mid cap
MED,Medifast Inc,Consumer Staples,Common stocks,Small cap
FRG,"Franchise Group, Inc.",Consumer Discretionary,Common stocks,Small cap
ROVR,"Rover Group, Inc. - Class A",Consumer Discretionary,Common stocks,Small cap
CSV,Carriage Services Inc,Consumer Discretionary,Common stocks,Small cap
STON,StoneMor Partners LP,Consumer Discretionary,MLPs,Small cap
WW,Weight Watchers International Inc,Consumer Discretionary,Common stocks,Small cap
EM,Smart Share Global Limited ADRs,Consumer Discretionary,ADRs,Micro cap
XSPA,Xpresspa Group Inc,Consumer Discretionary,Common stocks,Micro cap
RGS,Regis Corp,Consumer Discretionary,Common stocks,Micro cap
MRM,MEDIROM Healthcare Technologies Inc. ADRs,Consumer Discretionary,ADRs,Micro cap
WBA,Walgreen Boots Alliance Inc,Consumer Staples,Common stocks,Large cap
STVN,Stevanato Group S.p.A.,Health Care,Common stocks,Mid cap
PETS,Petmed Express Inc,Consumer Discretionary,Common stocks,Small cap
YI,"111, Inc. ADRs",Consumer Staples,ADRs,Micro cap
RAD,Rite Aid Corp,Consumer Staples,Common stocks,Micro cap
HITI,High Tide Inc.,Health Care,Common stocks,Micro cap
CJJD,China Jo-Jo Drugstores Inc.,Consumer Staples,Common stocks,Micro cap
LFMD,"LifeMD, Inc.",Consumer Staples,Common stocks,Micro cap
LFLY,"Leafly Holdings, Inc.",Communication Services,Common stocks,Micro cap
GNLN,"Greenlane Holdings, Inc. - Class A",Consumer Discretionary,Common stocks,Micro cap
MEDS,"Trxade Group, Inc.",Consumer Discretionary,Common stocks,Micro cap
BIMI,NF Energy Saving Corporation,Industrials,Common stocks,Micro cap
WM,Waste Management Inc,Industrials,Common stocks,Large cap
RSG,Republic Services Inc,Industrials,Common stocks,Large cap
WCN,Waste Connections Inc,Industrials,Common stocks,Large cap
GFL,GFL Environmental Inc. Subordinate voting shares,Industrials,Common stocks,Large cap
CLH,Clean Harbors Inc,Industrials,Common stocks,Mid cap
CWST,Casella Waste Systems Inc Class A,Industrials,Common stocks,Mid cap
SRCL,Stericycle Inc,Industrials,Common stocks,Mid cap
MEG,"Montrose Environmental Group, Inc.",Industrials,Common stocks,Small cap
