Symbol,Description,GICS sector,Category1,Category2,Category3,Market Cap,Average Volume,Actions
FXNC,First National Corporation,Financials,US Equity,Common stocks,Micro cap,"$98,820,372","5,198",Analyze
SFBC,Sound Financial Bancorp Inc,Financials,US Equity,Common stocks,Micro cap,"$96,260,939",987,Analyze
PROV,Provident Financial Holdings Inc,Financials,US Equity,Common stocks,Micro cap,"$95,387,309","9,165",Analyze
SBFG,SB Financial Group Inc,Financials,US Equity,Common stocks,Micro cap,"$94,751,442","33,930",Analyze
AFBI,"Affinity Bancshares, Inc.",Financials,US Equity,Common stocks,Micro cap,"$93,542,065","11,109",Analyze
RBKB,"Rhinebeck Bancorp, Inc.",Financials,US Equity,Common stocks,Micro cap,"$92,646,279","1,135",Analyze
EMCF,Emclaire Financial Corp,Financials,US Equity,Common stocks,Micro cap,"$92,532,160","18,678",Analyze
UBCP,United Bancorp Inc,Financials,US Equity,Common stocks,Micro cap,"$90,195,942","8,636",Analyze
BKSC,Bank Of South Carolina,Financials,US Equity,Common stocks,Micro cap,"$88,948,663","4,864",Analyze
HMNF,Hmn Financial Inc,Financials,US Equity,Common stocks,Micro cap,"$84,310,743","3,779",Analyze
CULL,"Cullman Bancorp, Inc.",Financials,US Equity,Common stocks,Micro cap,"$82,946,002","10,014",Analyze
PBHC,Pathfinder Bancorp Inc,Financials,US Equity,Common stocks,Micro cap,"$82,216,349","2,778",Analyze
AUBN,Auburn National Bancorporation Inc,Financials,US Equity,Common stocks,Micro cap,"$81,710,516",867,Analyze
VBFC,Village Bank And Trust Financial,Financials,US Equity,Common stocks,Micro cap,"$80,854,838",604,Analyze
FCAP,First Capital Inc,Financials,US Equity,Common stocks,Micro cap,"$80,823,898","3,217",Analyze
FRBK,Republic First Bancorp Inc,Financials,US Equity,Common stocks,Micro cap,"$75,359,039","655,537",Analyze
MGYR,Magyar Bancorp Inc,Financials,US Equity,Common stocks,Micro cap,"$74,172,274","4,858",Analyze
TCBC,"TC Bancshares, Inc.",Financials,US Equity,Common stocks,Micro cap,"$73,230,333","3,495",Analyze
BAFN,BayFirst Financial Corp.,Financials,US Equity,Common stocks,Micro cap,"$67,230,952","2,677",Analyze
CIZN,Citizens Holding,Financials,US Equity,Common stocks,Micro cap,"$66,840,661","2,476",Analyze
SSBI,Summit State Bank,Financials,US Equity,Common stocks,Micro cap,"$66,217,868","5,044",Analyze
FSEA,First Seacoast Bancorp,Financials,US Equity,Common stocks,Micro cap,"$63,935,640","26,607",Analyze
FFBW,"FFBW, Inc.",Financials,US Equity,Common stocks,Micro cap,"$63,815,966","26,065",Analyze
HVBC,HV Bancorp Inc.,Financials,US Equity,Common stocks,Micro cap,"$63,710,692","4,587",Analyze
CLST,"Catalyst Bancorp, Inc.",Financials,US Equity,Common stocks,Micro cap,"$63,480,000","15,564",Analyze
ASRV,Ameriserv Financial Inc,Financials,US Equity,Common stocks,Micro cap,"$59,901,160","9,803",Analyze
LSBK,Lake Shore Bancorp Inc,Financials,US Equity,Common stocks,Micro cap,"$57,534,643","1,987",Analyze
BCOW,"1895 Bancorp of Wisconsin, Inc.",Financials,US Equity,Common stocks,Micro cap,"$54,723,201","5,320",Analyze
