Symbol,Description,GICS sector,Category1,Category2,Category3,Market Cap,Average Volume,Actions
GRP=,Granite Real Estate Inc. Stapled Units Each Consisting Of One Unit Of Trust And One Common Share Of Granite Reit Inc.,Real Estate,US Equity,Units,Mid cap,"$3,765,774,087","2,252",Analyze
FEXDR,Fintech Ecosystem Development Corp. Right,Unknown,US Equity,Rights,Micro cap,"$121,803,337","6,395",Analyze
HHGCR,HHG Capital Corporation Rights,Unknown,US Equity,Rights,Micro cap,"$78,134,650","7,577",Analyze
GRP=,Granite Real Estate Inc. Stapled Units Each Consisting Of One Unit Of Trust And One Common Share Of Granite Reit Inc.,Real Estate,US Equity,Units,Mid cap,"$3,765,774,087","2,252",Analyze
FEXDR,Fintech Ecosystem Development Corp. Right,Unknown,US Equity,Rights,Micro cap,"$121,803,337","6,395",Analyze
HHGCR,HHG Capital Corporation Rights,Unknown,US Equity,Rights,Micro cap,"$78,134,650","7,577",Analyze
CTVA,"Corteva, Inc.",Materials,US Equity,Common stocks,Large cap,"$40,483,113,967","4,083,745",Analyze
NTR,Nutrien Ltd.,Materials,US Equity,Common stocks,Large cap,"$36,586,606,605","2,479,812",Analyze
FMC,FMC Corp,Materials,US Equity,Common stocks,Large cap,"$14,636,582,004","934,942",Analyze
MOS,Mosaic,Materials,US Equity,Common stocks,Large cap,"$14,462,199,011","5,072,753",Analyze
CF,CF Industries Holdings Inc,Materials,US Equity,Common stocks,Large cap,"$13,718,196,870","3,131,380",Analyze
ICL,Israel Chemicals Limited,Materials,US Equity,Common stocks,Mid cap,"$8,611,799,354","1,793,418",Analyze
SMG,Scotts Miracle Gro,Materials,US Equity,Common stocks,Mid cap,"$3,771,421,459","610,653",Analyze
UAN,CVR Partners LP,Materials,US Equity,MLPs,Small cap,"$919,135,634","141,492",Analyze
AVD,American Vanguard Corp,Materials,US Equity,Common stocks,Small cap,"$639,926,392","186,687",Analyze
BIOX,Bioceres Crop Solutions Corp.,Materials,US Equity,Common stocks,Small cap,"$441,046,854","58,884",Analyze
IPI,Intrepid Potash Inc,Materials,US Equity,Common stocks,Small cap,"$337,027,810","223,385",Analyze
MBII,Marrone Bio Innovations Inc,Materials,US Equity,Common stocks,Micro cap,"$198,747,328","4,048,809",Analyze
RKDA,Arcadia Biosciences Inc,Consumer Staples,US Equity,Common stocks,Micro cap,"$180,879,326","893,163",Analyze
CGA,China Green Agriculture Inc.,Materials,US Equity,Common stocks,Micro cap,"$54,460,320","23,676",Analyze
SEED,Origin Agritech Limited,Consumer Staples,US Equity,Common stocks,Micro cap,"$40,168,837","44,688",Analyze
YTEN,Yield10 Bioscience Inc,Health Care,US Equity,Common stocks,Micro cap,"$13,504,677","122,122",Analyze
SVFD,"Save Foods, Inc.",Materials,US Equity,Common stocks,Micro cap,"$3,271,959","27,907",Analyze
RYAAY,Ryanair Holdings PLC ADRs,Industrials,US Equity,ADRs,Large cap,"$20,987,864,617","328,811",Analyze
DAL,Delta Air Lines Inc,Industrials,US Equity,Common stocks,Large cap,"$20,609,410,372","10,472,413",Analyze
LUV,Southwest Airlines,Industrials,US Equity,Common stocks,Large cap,"$17,602,768,411","8,012,768",Analyze
UAL,United Continental Holdings Inc,Industrials,US Equity,Common stocks,Large cap,"$13,626,694,255","8,087,471",Analyze
AAL,American Airlines Group Inc,Industrials,US Equity,Common stocks,Mid cap,"$8,878,997,960","21,782,303",Analyze
ALK,Alaska Air Group Inc,Industrials,US Equity,Common stocks,Mid cap,"$4,910,377,742","1,820,728",Analyze
ZNH,China Southern Airlines ADRs,Industrials,US Equity,ADRs,Mid cap,"$3,072,468,614","20,024",Analyze
CPA,Copa Holdings SA Class A,Industrials,US Equity,Common stocks,Mid cap,"$2,731,289,974","451,376",Analyze
JBLU,Jetblue Airways Corp,Industrials,US Equity,Common stocks,Mid cap,"$2,169,774,588","8,819,651",Analyze
CEA,China Eastern Airlines ADRs,Industrials,US Equity,ADRs,Mid cap,"$2,080,029,320","17,065",Analyze
ULCC,"Frontier Group Holdings, Inc.",Industrials,US Equity,Common stocks,Small cap,"$1,929,829,611","1,997,537",Analyze
SAVE,Spirit Airlines Inc,Industrials,US Equity,Common stocks,Small cap,"$1,847,482,018","3,213,818",Analyze
ALGT,Allegiant Travel,Industrials,US Equity,Common stocks,Small cap,"$1,465,499,291","265,026",Analyze
SNCY,"Sun Country Airlines Holdings, Inc.",Industrials,US Equity,Common stocks,Small cap,"$1,043,319,332","471,887",Analyze
VLRS,Controladora Vuela Compania de Aviacion S.A.B. de C.V. - Volaris ADRs,Industrials,US Equity,ADRs,Small cap,"$980,565,398","393,683",Analyze
SKYW,Skywest Inc,Industrials,US Equity,Common stocks,Small cap,"$927,614,367","1,115,103",Analyze
HA,Hawaiian Holdings Inc,Industrials,US Equity,Common stocks,Small cap,"$390,001,983","1,962,167",Analyze
GOL,Gol Linhas ADRs of preferred shares,Industrials,US Equity,ADRs,Small cap,"$382,306,104","2,271,563",Analyze
MESA,Mesa Air Group Inc.,Industrials,US Equity,Common stocks,Micro cap,"$87,253,828","416,632",Analyze
AER,AerCap Holdings NV,Industrials,US Equity,Common stocks,Large cap,"$12,601,781,620","2,471,145",Analyze
ASR,Grupo Aeroportuario del Sureste ADRs,Industrials,US Equity,ADRs,Mid cap,"$8,020,043,400","50,783",Analyze
PAC,Grupo Aeroportuario del Pacifico ADRs of Series B,Industrials,US Equity,ADRs,Mid cap,"$7,591,664,721","79,493",Analyze
OMAB,Grupo Aeroportuario-OMA ADRs,Industrials,US Equity,ADRs,Mid cap,"$3,656,342,804","68,517",Analyze
JOBY,"Joby Aviation, Inc.",Industrials,US Equity,Common stocks,Mid cap,"$2,432,626,272","2,720,615",Analyze
AAWW,Atlas Air Worldwide Holdings Inc,Industrials,US Equity,Common stocks,Small cap,"$1,832,939,776","1,245,467",Analyze
CAAP,Corporacion America Airports SA,Industrials,US Equity,Common stocks,Small cap,"$1,501,648,904","88,658",Analyze
ASLE,AerSale Corporation,Industrials,US Equity,Common stocks,Small cap,"$822,508,355","295,049",Analyze
MIC,Macquarie Infrastructure Corp,Industrials,US Equity,Common stocks,Small cap,"$363,950,090","1,945,092",Analyze
BLDE,"Blade Air Mobility, Inc. - Class A",Industrials,US Equity,Common stocks,Micro cap,"$226,912,197","401,736",Analyze
UP,Wheels Up Experience Inc. Class A,Industrials,US Equity,Common stocks,Micro cap,"$167,287,266","1,500,125",Analyze
AA,Alcoa Corp,Materials,US Equity,Common stocks,Mid cap,"$7,175,202,179","6,028,770",Analyze
CSTM,Constellium NV Class A,Materials,US Equity,Common stocks,Mid cap,"$2,031,766,415","936,374",Analyze
ACH,Aluminum Corporation of China ADRs,Materials,US Equity,ADRs,Small cap,"$1,426,138,097","32,729",Analyze
KALU,Kaiser Aluminium Corp,Materials,US Equity,Common stocks,Small cap,"$1,066,356,873","231,330",Analyze
CENX,Century Aluminum,Materials,US Equity,Common stocks,Small cap,"$831,839,042","2,509,135",Analyze
VFC,VF Corp,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$7,944,145,973","12,959,329",Analyze
RL,Ralph Lauren Corp Class A,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$7,553,403,200","832,001",Analyze
GIL,Gildan Activewear Inc. Class A,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$5,718,874,574","733,014",Analyze
CPRI,Capri Holdings Limited,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$5,458,308,661","3,453,627",Analyze
COLM,Columbia Sportswear,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$5,349,095,139","315,882",Analyze
PVH,PVH Corp,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$4,680,610,718","898,301",Analyze
UA,Under Armour Inc Class C,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$3,450,490,379","3,935,906",Analyze
UAA,Under Armour Inc Class A,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$3,450,490,379","8,726,306",Analyze
ZGN,Ermenegildo Zegna N.V.,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$3,185,572,028","208,512",Analyze
KTB,"Kontoor Brands, Inc.",Consumer Discretionary,US Equity,Common stocks,Mid cap,"$2,665,558,409","619,729",Analyze
OXM,Oxford Industries Inc,Consumer Discretionary,US Equity,Common stocks,Small cap,"$1,836,560,689","187,271",Analyze
HBI,Hanesbrands Inc,Consumer Discretionary,US Equity,Common stocks,Small cap,"$1,712,345,592","17,224,316",Analyze
LEVI,Levi Strauss & Co,Consumer Discretionary,US Equity,Common stocks,Small cap,"$1,564,599,801","1,949,240",Analyze
GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,Consumer Discretionary,US Equity,Common stocks,Small cap,"$970,433,506","1,246,509",Analyze
FIGS,"FIGS, Inc.",Health Care,US Equity,Common stocks,Small cap,"$943,549,941","4,471,718",Analyze
SGC,Superior Uniform Group Inc,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$129,656,438","59,560",Analyze
LAKE,Lakeland Industries Inc,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$104,235,177","11,696",Analyze
VNCE,Vince Holding Corp,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$84,704,884","3,013",Analyze
DLA,Delta Apparel Inc,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$78,061,373","21,687",Analyze
JRSH,Jerash Holdings US Inc,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$59,536,857","18,186",Analyze
EVK,Ever-Glory International Group Inc.,Materials,US Equity,Common stocks,Micro cap,"$19,406,864","174,963",Analyze
XELB,Xcel Brands Inc,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$11,994,715","4,049",Analyze
LLL,JX Luxventure Limited,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$6,242,814","46,060",Analyze
TJX,"TJX Companies, Inc.",Consumer Discretionary,US Equity,Common stocks,Large cap,"$86,235,274,640","5,118,677",Analyze
LULU,Lululemon Athletica Inc,Consumer Discretionary,US Equity,Common stocks,Large cap,"$37,725,750,739","1,775,236",Analyze
ROST,Ross Stores Inc,Consumer Discretionary,US Equity,Common stocks,Large cap,"$34,998,425,645","2,665,827",Analyze
BURL,Burlington Stores Inc,Consumer Discretionary,US Equity,Common stocks,Large cap,"$13,233,187,165","1,173,358",Analyze
ONON,On Holding AG,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$8,624,786,161","5,871,434",Analyze
GPS,Gap Inc,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$3,237,311,737","11,136,677",Analyze
CRI,Carters Inc,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$2,639,167,668","851,306",Analyze
AEO,American Eagle Outfitters Inc,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$2,477,695,344","4,665,061",Analyze
VSCO,Victorias Secret & Co.,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$2,382,139,217","2,062,508",Analyze
URBN,Urban Outfitters Inc,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$2,380,899,623","1,885,211",Analyze
BOOT,Boot Barn Holdings Inc,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$2,191,706,090","592,625",Analyze
BKE,Buckle Inc,Consumer Discretionary,US Equity,Common stocks,Small cap,"$1,718,651,922","545,432",Analyze
ANF,Abercrombie And Fitch,Consumer Discretionary,US Equity,Common stocks,Small cap,"$1,206,422,888","1,835,898",Analyze
GES,Guess Inc,Consumer Discretionary,US Equity,Common stocks,Small cap,"$988,228,605","1,063,940",Analyze
CHS,Chicos FAS Inc,Consumer Discretionary,US Equity,Common stocks,Small cap,"$681,627,783","2,826,395",Analyze
GIII,"G-III Apparel Group, LTD.",Consumer Discretionary,US Equity,Common stocks,Small cap,"$680,042,466","776,638",Analyze
SCVL,Shoe Carnival Inc,Consumer Discretionary,US Equity,Common stocks,Small cap,"$666,114,611","416,390",Analyze
DBI,Designer Brands Inc. Class A,Consumer Discretionary,US Equity,Common stocks,Small cap,"$476,444,117","2,306,721",Analyze
PLCE,Childrens Place Inc,Consumer Discretionary,US Equity,Common stocks,Small cap,"$457,441,549","705,232",Analyze
GCO,Genesco Inc,Consumer Discretionary,US Equity,Common stocks,Small cap,"$438,827,175","256,319",Analyze
ZUMZ,Zumiez Inc,Consumer Discretionary,US Equity,Common stocks,Small cap,"$340,872,807","656,191",Analyze
DXLG,"Destination XL Group, Inc",Consumer Discretionary,US Equity,Common stocks,Small cap,"$324,371,129","1,068,189",Analyze
CURV,Torrid Holdings Inc.,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$246,709,948","108,497",Analyze
JILL,J Jill Inc,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$237,656,869","66,630",Analyze
DLTH,Duluth Holdings Inc Class B,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$173,756,401","127,734",Analyze
BIRD,"Allbirds, Inc.",Consumer Discretionary,US Equity,Common stocks,Micro cap,"$170,943,942","2,475,707",Analyze
CATO,Cato Corp Class A,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$167,373,781","119,557",Analyze
RENT,"Rent the Runway, Inc.",Consumer Discretionary,US Equity,Common stocks,Micro cap,"$166,663,082","829,081",Analyze
TLYS,Tillys Inc Class A,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$161,142,846","236,459",Analyze
CTRN,Citi Trends Inc,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$153,587,949","103,967",Analyze
LVLU,"Lulus Fashion Lounge Holdings, Inc.",Consumer Discretionary,US Equity,Common stocks,Micro cap,"$92,919,291","118,930",Analyze
EXPR,Express Inc,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$58,060,915","1,352,449",Analyze
DBGI,"Digital Brands Group, Inc.",Consumer Discretionary,US Equity,Common stocks,Micro cap,"$6,665,452","575,724",Analyze
BLK,Blackrock Inc,Financials,US Equity,Common stocks,Large cap,"$97,921,063,194","825,275",Analyze
BX,Blackstone Group Inc. Class A,Financials,US Equity,Common stocks,Large cap,"$59,652,934,339","7,392,013",Analyze
KKR,KKR & Co Inc.,Financials,US Equity,Common stocks,Large cap,"$43,481,777,263","3,743,398",Analyze
BK,Bank Of New York Mellon Corp,Financials,US Equity,Common stocks,Large cap,"$34,577,988,683","6,859,136",Analyze
APO,Apollo Global Management LLC,Financials,US Equity,MLPs,Large cap,"$32,926,642,845","4,571,983",Analyze
AMP,Ameriprise Finance Inc,Financials,US Equity,Common stocks,Large cap,"$31,245,722,922","870,828",Analyze
STT,State Street Corp,Financials,US Equity,Common stocks,Large cap,"$25,040,150,234","3,665,264",Analyze
TROW,T Rowe Price Group Inc,Financials,US Equity,Common stocks,Large cap,"$24,438,316,789","2,479,051",Analyze
NTRS,Northern Trust Corporation,Financials,US Equity,Common stocks,Large cap,"$17,289,025,820","1,587,341",Analyze
ARES,Ares Management Corporation Class A,Financials,US Equity,Common stocks,Large cap,"$14,150,397,969","1,296,353",Analyze
BEN,Franklin Resources Inc,Financials,US Equity,Common stocks,Large cap,"$13,101,758,382","4,639,913",Analyze
BAM,Brookfield Asset Management Inc.,Financials,US Equity,Common stocks,Large cap,"$12,882,842,233","2,003,492",Analyze
CG,Carlyle Group,Financials,US Equity,Common stocks,Large cap,"$11,145,101,828","4,914,845",Analyze
GRAB,Grab Holdings Limited - Class A,Industrials,US Equity,Common stocks,Large cap,"$10,200,866,533","10,901,112",Analyze
ARCC,Ares Capital Corp,Financials,US Equity,BDCs,Mid cap,"$9,361,348,765","3,875,512",Analyze
SEIC,SEI Investments,Financials,US Equity,Common stocks,Mid cap,"$7,412,717,538","530,012",Analyze
IVZ,Invesco Ltd,Financials,US Equity,Common stocks,Mid cap,"$6,839,462,530","5,685,916",Analyze
FSK,FS KKR Capital Corp.,Financials,US Equity,BDCs,Mid cap,"$5,024,596,106","1,548,928",Analyze
AMG,Affiliated Managers Group Inc,Financials,US Equity,Common stocks,Mid cap,"$4,897,729,162","374,263",Analyze
OWL,Blue Owl Capital Inc. Class A,Financials,US Equity,Common stocks,Mid cap,"$4,861,019,058","5,260,347",Analyze
BIPC,Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares,Utilities,US Equity,Common stocks,Mid cap,"$4,854,024,337","340,495",Analyze
ORCC,Owl Rock Capital Corporation,Financials,US Equity,BDCs,Mid cap,"$4,797,011,641","2,233,922",Analyze
ATCO,Atlas Corp.,Industrials,US Equity,Common stocks,Mid cap,"$4,327,661,305","2,746,944",Analyze
JHG,Janus Henderson Group Plc,Financials,US Equity,Common stocks,Mid cap,"$4,172,922,627","1,612,873",Analyze
BXSL,Blackstone Secured Lending Fund,Financials,US Equity,BDCs,Mid cap,"$4,078,512,823","1,319,405",Analyze
AB,AllianceBernstein Holding LP,Financials,US Equity,MLPs,Mid cap,"$3,831,682,936","309,201",Analyze
FHI,"Federated Hermes, Inc.",Financials,US Equity,Common stocks,Mid cap,"$3,502,294,930","1,393,575",Analyze
MAIN,Main Street Capital Corp,Financials,US Equity,BDCs,Mid cap,"$3,075,401,106","376,355",Analyze
CNS,Cohen & Steers Inc,Financials,US Equity,Common stocks,Mid cap,"$2,972,706,699","161,794",Analyze
JXN,Jackson Financial Inc. Class A,Financials,US Equity,Common stocks,Mid cap,"$2,853,507,195","1,707,830",Analyze
PSEC,Prospect Capital Corp,Financials,US Equity,BDCs,Mid cap,"$2,713,027,367","1,760,409",Analyze
HLNE,Hamilton Lane Inc Class A,Financials,US Equity,Common stocks,Mid cap,"$2,695,114,738","335,928",Analyze
AMK,"AssetMark Financial Holdings, Inc.",Financials,US Equity,Common stocks,Mid cap,"$2,262,072,603","171,742",Analyze
GBDC,Golub Capital BDC Inc,Financials,US Equity,BDCs,Mid cap,"$2,170,375,009","954,368",Analyze
CIXX,CI Financial Corp.,Financials,US Equity,Common stocks,Mid cap,"$2,127,378,708","52,562",Analyze
APAM,Artisan Partners Asset Management,Financials,US Equity,Common stocks,Mid cap,"$2,075,135,646","794,065",Analyze
TPG,TPG Inc. - Class A,Financials,US Equity,Common stocks,Small cap,"$1,992,410,113","633,430",Analyze
VCTR,"Victory Capital Holdings, Inc. Class A",Financials,US Equity,Common stocks,Small cap,"$1,991,531,971","451,028",Analyze
BUR,Burford Capital Limited,Financials,US Equity,Common stocks,Small cap,"$1,539,920,635","752,212",Analyze
STEP,StepStone Group Inc. Class A,Financials,US Equity,Common stocks,Small cap,"$1,492,740,085","369,400",Analyze
TSLX,TPG Specialty Lending Inc,Financials,US Equity,BDCs,Small cap,"$1,409,662,451","793,283",Analyze
OCSL,Oaktree Specialty Lending Corporation,Financials,US Equity,BDCs,Small cap,"$1,389,748,884","755,911",Analyze
BCOR,Blucora Inc,Financials,US Equity,Common stocks,Small cap,"$1,309,030,955","262,414",Analyze
BBUC,Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares,Industrials,US Equity,Common stocks,Small cap,"$1,254,827,565","42,495",Analyze
VRTS,Virtus Investment Partners Inc,Financials,US Equity,Common stocks,Small cap,"$1,234,362,408","78,721",Analyze
NMFC,New Mountain Finance Corp,Financials,US Equity,BDCs,Small cap,"$1,201,150,609","535,659",Analyze
NOAH,Noah Holdings ADRs,Financials,US Equity,ADRs,Small cap,"$1,118,095,125","72,305",Analyze
SII,Sprott Inc.,Financials,US Equity,Common stocks,Small cap,"$939,099,839","77,205",Analyze
BSIG,Brightsphere Investment Group,Financials,US Equity,Common stocks,Small cap,"$936,399,867","163,183",Analyze
AINV,Apollo Investment Corp,Financials,US Equity,BDCs,Small cap,"$867,030,501","483,796",Analyze
BBDC,Barings BDC Inc.,Financials,US Equity,BDCs,Small cap,"$827,716,993","742,496",Analyze
SLRC,Solar Capital Ltd,Financials,US Equity,BDCs,Small cap,"$793,224,378","294,194",Analyze
PAX,Patria Investments Ltd,Financials,US Equity,Common stocks,Small cap,"$788,216,175","177,545",Analyze
WETF,Wisdomtree Investments Inc,Financials,US Equity,Common stocks,Small cap,"$771,036,842","1,013,153",Analyze
BCSF,"Bain Capital Specialty Finance, Inc.",Financials,US Equity,BDCs,Small cap,"$768,290,954","211,079",Analyze
CGBD,TCG BDC,Financials,US Equity,BDCs,Small cap,"$689,638,052","373,114",Analyze
CSWC,Capital Southwest Corp,Financials,US Equity,BDCs,Small cap,"$589,922,710","308,092",Analyze
TCPC,TCP Capital Corp,Financials,US Equity,BDCs,Small cap,"$562,075,479","472,399",Analyze
CION,CION Investment Corporation,Financials,US Equity,BDCs,Small cap,"$524,867,389","235,180",Analyze
PFLT,PennantPark Floating Rate Capital Ltd,Financials,US Equity,BDCs,Small cap,"$508,244,967","375,609",Analyze
DHIL,Diamond Hill Investment Group Inc,Financials,US Equity,Common stocks,Small cap,"$495,972,696","13,781",Analyze
TRIN,Trinity Capital Inc.,Financials,US Equity,BDCs,Small cap,"$463,060,456","515,701",Analyze
FDUS,Fidus Investment Corp,Financials,US Equity,BDCs,Small cap,"$456,983,405","150,441",Analyze
GAIN,Gladstone Investment Corp,Financials,US Equity,BDCs,Small cap,"$429,902,982","203,463",Analyze
CCAP,"Crescent Capital BDC, Inc.",Financials,US Equity,BDCs,Small cap,"$415,126,118","124,755",Analyze
PUYI,Puyi Inc. ADRs,Financials,US Equity,ADRs,Small cap,"$402,298,889","3,719",Analyze
TPVG,Triplepoint Venture Growth BDC Corp,Financials,US Equity,BDCs,Small cap,"$400,846,876","416,853",Analyze
PX,"P10, Inc.",Financials,US Equity,Common stocks,Small cap,"$392,749,594","263,331",Analyze
VINP,Vinci Partners Investments Ltd.,Financials,US Equity,Common stocks,Small cap,"$335,182,278","33,844",Analyze
PNNT,PennantPark Investment Corp,Financials,US Equity,BDCs,Small cap,"$331,992,705","388,889",Analyze
GLAD,Gladstone Capital Corp,Financials,US Equity,BDCs,Small cap,"$328,628,007","127,343",Analyze
MSB,Mesabi Trust,Materials,US Equity,Royalty trusts,Small cap,"$319,997,044","43,961",Analyze
HRZN,Horizon Technology Finance Corp,Financials,US Equity,BDCs,Small cap,"$319,454,101","347,488",Analyze
GCMG,GCM Grosvenor Inc. - Class A,Financials,US Equity,Common stocks,Small cap,"$312,504,182","302,855",Analyze
NEWT,Newtek Business Services Corp,Financials,US Equity,BDCs,Micro cap,"$293,088,795","760,486",Analyze
WHF,WhiteHorse Finance Inc,Financials,US Equity,BDCs,Micro cap,"$284,495,397","77,648",Analyze
SAR,Saratoga Investment,Financials,US Equity,BDCs,Micro cap,"$283,231,710","70,891",Analyze
SCM,Stellus Capital Investment Corp,Financials,US Equity,BDCs,Micro cap,"$273,056,712","151,685",Analyze
MN,Manning And Napier Inc Class A,Financials,US Equity,Common stocks,Micro cap,"$245,747,666","423,573",Analyze
BKCC,BlackRock Capital Investment Corporation,Financials,US Equity,BDCs,Micro cap,"$239,487,293","263,943",Analyze
SWKH,SWK Holdings Corporation,Financials,US Equity,Common stocks,Micro cap,"$228,202,212","10,212",Analyze
SCU,"Sculptor Capital Management, Inc. Class A",Financials,US Equity,Common stocks,Micro cap,"$211,996,633","183,765",Analyze
PTMN,Portman Ridge Finance Corporation,Financials,US Equity,BDCs,Micro cap,"$198,385,652","22,719",Analyze
HYW,Hywin Holdings Ltd. ADRs,Financials,US Equity,ADRs,Micro cap,"$171,640,000","22,228",Analyze
PZN,Pzena Investment Management Inc Class A,Financials,US Equity,Common stocks,Micro cap,"$161,506,829","1,482,112",Analyze
SAMG,Silvercrest Asset Management Group,Financials,US Equity,Common stocks,Micro cap,"$159,836,295","35,953",Analyze
OXSQ,Oxford Square Capital Corp,Financials,US Equity,BDCs,Micro cap,"$151,938,419","161,886",Analyze
FCRD,"First Eagle Alternative Capital BDC, Inc.",Financials,US Equity,BDCs,Micro cap,"$145,720,276","193,234",Analyze
OFS,OFS Capital Corp,Financials,US Equity,BDCs,Micro cap,"$134,516,703","53,943",Analyze
AAMC,Altisource Asset Management Corp,Real Estate,US Equity,Common stocks,Micro cap,"$104,677,375","18,026",Analyze
PFX,PhenixFIN Corporation,Financials,US Equity,BDCs,Micro cap,"$75,945,447","2,327",Analyze
MGLD,"The Marygold Companies, Inc.",Financials,US Equity,Common stocks,Micro cap,"$68,921,053","8,330",Analyze
GECC,Great Elm Capital Corp,Financials,US Equity,BDCs,Micro cap,"$67,657,426","44,640",Analyze
HNNA,Hennessy Advisors Inc,Financials,US Equity,Common stocks,Micro cap,"$59,000,362","7,134",Analyze
SSIC,Silver Spike Investment Corp.,Financials,US Equity,BDCs,Micro cap,"$56,429,222","1,886",Analyze
LRFC,Logan Ridge Finance Corporation,Financials,US Equity,BDCs,Micro cap,"$56,254,661","6,953",Analyze
TURN,180 Degree Capital,Financials,US Equity,BDCs,Micro cap,"$51,557,885","17,012",Analyze
ICMB,"Investcorp Credit Management BDC, Inc.",Financials,US Equity,BDCs,Micro cap,"$50,652,951","35,313",Analyze
AINC,Ashford Inc,Financials,US Equity,Common stocks,Micro cap,"$39,421,221","5,126",Analyze
DXR,Daxor Corp,Health Care,US Equity,Common stocks,Micro cap,"$38,523,525","24,416",Analyze
GROW,US Global Investors Inc Class A,Financials,US Equity,Common stocks,Micro cap,"$36,608,877","38,062",Analyze
RAND,Rand Capital,Financials,US Equity,BDCs,Micro cap,"$35,734,236",872,Analyze
SFE,Safeguard Scientifics Inc,Financials,US Equity,Common stocks,Micro cap,"$28,632,155","35,634",Analyze
MTR,Mesa Royalty Trust,Financials,US Equity,Royalty trusts,Micro cap,"$27,525,038","15,548",Analyze
EQS,Equus Total Return,Financials,US Equity,BDCs,Micro cap,"$20,412,400","9,291",Analyze
JP,Jupai Holdings Limited ADRs,Financials,US Equity,ADRs,Micro cap,"$12,100,012","78,240",Analyze
LGHL,Lion Group Holding Ltd. ADRs,Financials,US Equity,ADRs,Micro cap,"$11,391,678","460,369",Analyze
PHCF,"Puhui Wealth Investment Management Co., Ltd.",Financials,US Equity,Common stocks,Micro cap,"$7,375,032","2,195",Analyze
SVVC,Firsthand Technology Value Fund,Financials,US Equity,BDCs,Micro cap,"$6,961,297","7,043",Analyze
PAG,Penske Automotive Group Inc,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$9,104,407,077","414,217",Analyze
KMX,Carmax Inc,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$8,964,673,098","2,608,355",Analyze
AN,AutoNation Inc,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$5,850,209,202","845,531",Analyze
LAD,Lithia Motors Inc Class A,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$5,768,032,636","378,516",Analyze
DRVN,Driven Brands Holdings Inc.,Industrials,US Equity,Common stocks,Mid cap,"$4,701,663,701","462,540",Analyze
ABG,Asbury Automotive Group Inc.,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$4,293,239,486","285,253",Analyze
GPI,Group Automotive Inc,Consumer Discretionary,US Equity,Common stocks,Mid cap,"$2,895,179,693","174,998",Analyze
RUSHA,Rush Enterprises Inc Class A,Industrials,US Equity,Common stocks,Mid cap,"$2,877,694,732","190,796",Analyze
RUSHB,Rush Enterprises Inc Class B,Industrials,US Equity,Common stocks,Mid cap,"$2,877,694,732","19,483",Analyze
CARS,Cars.Com Inc,Communication Services,US Equity,Common stocks,Small cap,"$1,185,477,494","606,073",Analyze
SAH,Sonic Automotive Inc Class A,Consumer Discretionary,US Equity,Common stocks,Small cap,"$1,179,316,164","564,190",Analyze
CRMT,Americas Car-Mart Inc,Consumer Discretionary,US Equity,Common stocks,Small cap,"$474,694,710","142,890",Analyze
KFS,Kingsway Financial Services Inc.,Financials,US Equity,Common stocks,Micro cap,"$221,147,562","98,845",Analyze
LAZY,Lazydays Holdings Inc.,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$128,466,153","225,080",Analyze
VRM,"Vroom, Inc.",Consumer Discretionary,US Equity,Common stocks,Micro cap,"$121,164,620","2,506,330",Analyze
